direction,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,entry_fee,exit_fee,total_fees,pnl,pnl_pct,entry_reason,exit_reason
long,2025-06-13 04:00:00+00:00,2025-06-16 20:00:00+00:00,104955.0,106809.205,0.09409032442475347,174.46275000000017,24.75,25.124281875,49.874281875,124.58846812500016,1.2616234335839616,"Price bounced from lower band (104773.12), bandwidth: 6.4%","Price bounced from upper band (107901.83), bandwidth: 3.8%"
long,2025-06-20 20:00:00+00:00,2025-06-29 12:00:00+00:00,103337.2,107794.92,0.0967539688223132,431.30210189860213,25.058356458609378,26.073965822209363,51.13232228081874,380.16977961778343,3.8023501931632815,"Price bounced from lower band (103298.87), bandwidth: 2.6%","Price bounced from upper band (108057.52), bandwidth: 1.3%"
long,2025-07-01 20:00:00+00:00,2025-07-02 20:00:00+00:00,105712.2935,108798.85,0.09813155164022803,302.8885785702321,25.999276663163393,26.69149991793106,52.690776581094454,250.19780198913762,2.411844638978823,"Price bounced from lower band (105641.67), bandwidth: 3.1%","Price bounced from upper band (109619.43), bandwidth: 4.1%"
long,2025-07-21 20:00:00+00:00,2025-07-23 00:00:00+00:00,117440.444,118658.79,0.09043552298739194,110.18175768959615,26.61851622308651,26.82742432675278,53.44594054983929,56.735817139756875,0.5341959305084355,"Price bounced from lower band (116988.31), bandwidth: 1.9%","Price bounced from upper band (119951.61), bandwidth: 2.8%"
long,2025-07-25 08:00:00+00:00,2025-08-08 00:00:00+00:00,116598.7685,116747.66,0.0915688574432281,13.633824538008204,26.758937370507407,26.72612458842616,53.48506195893357,-39.851237420925365,-0.37325020287408905,"Price bounced from lower band (115937.94), bandwidth: 4.1%","Price bounced from upper band (117716.40), bandwidth: 4.6%"
long,2025-08-18 12:00:00+00:00,2025-08-23 00:00:00+00:00,116194.26,115587.1,0.09154894499606397,-55.58485744380919,26.660305557890617,26.45469265038637,53.11499820827699,-108.69985565208617,-1.021858940545355,"Price bounced from lower band (115178.75), bandwidth: 3.6%","Price bounced from upper band (116749.29), bandwidth: 5.0%"
long,2025-08-29 20:00:00+00:00,2025-09-02 08:00:00+00:00,108366.22,109733.542,0.09717159178058928,132.8648552166189,26.3912734151517,26.657457369655372,53.04873078480708,79.81612443181183,0.7579793856970816,"Price bounced from lower band (108227.49), bandwidth: 5.3%","Price bounced from upper band (110243.41), bandwidth: 2.3%"
long,2025-09-19 20:00:00+00:00,2025-09-29 08:00:00+00:00,115695.92,112147.2,0.09169673840637643,-325.4060495174763,26.588818323120435,25.708831153518947,52.29764947663938,-377.70369899411565,-3.5602402502866566,"Price bounced from lower band (115258.36), bandwidth: 2.4%","Price bounced from upper band (112183.92), bandwidth: 3.9%"
long,2025-10-11 08:00:00+00:00,2025-10-20 12:00:00+00:00,112400.6565,111169.115,0.09106660925575547,-112.15230856274624,25.65400166811,25.309485892532862,50.96348756064286,-163.1157961233891,-1.5935584802523193,"Price bounced from lower band (111297.12), bandwidth: 13.9%","Price bounced from upper band (111380.49), bandwidth: 6.3%"
long,2025-10-30 00:00:00+00:00,2025-11-10 08:00:00+00:00,110744.54,106173.677,0.09097392737383839,-415.82935859776484,25.250290072704612,24.147590951028437,49.39788102373305,-465.2272396214979,-4.617701631696909,"Price bounced from lower band (110242.21), bandwidth: 5.8%","Price bounced from upper band (106540.48), bandwidth: 6.9%"
long,2025-11-12 20:00:00+00:00,2025-11-27 08:00:00+00:00,101628.102,91382.83,0.09461400951089219,-969.3462624496772,24.098852654641405,21.61523986688061,45.71409252152202,-1015.0603549711992,-10.556564460444601,"Price bounced from lower band (101115.70), bandwidth: 6.2%","Price bounced from upper band (91579.47), bandwidth: 7.7%"
long,2025-12-01 16:00:00+00:00,2025-12-09 04:00:00+00:00,85063.815,90502.254,0.10125392015581461,550.6632682782681,21.586578276087685,22.909270001093134,44.49584827718082,506.16742000108724,5.876753642195574,"Price bounced from lower band (84902.34), bandwidth: 10.7%",End of backtest
